,Unnamed: 0,date_time,y,x,cloud_amount_of_high_cloud,cloud_amount_of_low_cloud,cloud_amount_of_medium_cloud,cloud_amount_of_total_cloud,fog_fraction_at_screen_level,pressure_at_surface,relative_humidity_at_screen_level,temperature_at_screen_level,visibility_at_screen_level,rainfall_accumulation-PT01H,snowfall_accumulation-PT01H,wx,wy,month,hour,cluster,distance,cloud_amount_of_low_mid_clouds,rainfall_mm,snowfall_mm,wind_speed,wind_direction,pattern,mean_note_duration,tempo,pitch_range,mode,Valence,Arousal,mode_str,c5_index,c5_index_int
0,3008,2023050615,3,6,0.9921875,0.984375,0.953125,1.0,0.0,100370.25,0.94140625,283.75,5828.0,0.0056009293,0.0,1.3241870629731738,-0.3703425741856854,5,15,4,1.8606908,0.96875,5,0.0,1.375,344.375,High_rain,0.5916085839271545,90.64617156982422,57.84558868408203,0.0001416607556166,0.4701771736145019,0.4665242433547973,minor,3,3
1,362,2023011603,3,6,0.0,1.0,1.0,1.0,1.0,98155.125,1.0029296875,272.8671875,52.0,0.0,0.0011739731,3.78306067245764,-1.4806614057590444,1,3,4,5.62026,1.0,0,1.1739731,4.0625,338.625,High_snow,0.8873217105865479,77.5535888671875,45.88077545166016,5.879494347027503e-05,0.3138715028762817,0.2601679265499115,minor,8,8
2,7060,2023102213,3,6,0.0,0.0,0.0,0.0,0.0,99345.375,0.5673828125,284.484375,27074.0,0.0,0.0,-0.5161067370199922,-4.09258583734081,10,13,3,0.77806425,0.0,0,0.0,4.125,262.8125,Comfortable,0.549530029296875,121.62858581542967,47.224395751953125,1.0,0.6968955993652344,0.5911120176315308,major,8,8
3,394,2023011711,3,6,0.078125,0.0390625,0.046875,0.1171875,0.0,97790.75,0.8017578125,272.84375,26378.0,0.0,0.0,-1.6513831892726007,-4.917630507895836,1,11,3,0.7166706,0.04296875,0,0.0,5.1875,251.4375,Cold_windy,0.8465295433998108,95.93970489501952,36.698883056640625,1.0,0.4875586032867431,0.2569583356380462,major,8,8
4,1597,2023030818,3,6,0.0,1.0,0.5,1.0,0.5625,98768.0,0.9892578125,273.125,597.0,0.0,0.0011920929,2.7893044839304753,3.610565986923012,3,18,4,4.923129,0.75,0,1.1920929,4.5625,52.3125,High_snow,1.4373395442962646,93.73472595214844,41.952518463134766,2.451565478622797e-06,0.2317702174186706,0.1997495293617248,minor,8,8
5,437,2023011907,3,6,0.0,0.015625,0.0,0.015625,0.0,99299.1875,0.869140625,272.296875,34656.0,0.0,0.0,-1.6684637951414272,-4.64705657532833,1,7,3,0.63383627,0.0078125,0,0.0,4.9375,250.25,Cold_windy,0.8132453560829163,121.97737121582033,46.03146743774414,3.697211425901514e-08,0.4375375211238861,0.5184019207954407,minor,3,3
6,361,2023011602,3,6,0.0859375,1.0,1.0,1.0,1.0,98129.5,1.0,273.28125,39.0,0.0,0.0013999939,2.7190339761853335,-0.719034412493432,1,2,4,6.240842,1.0,0,1.3999939,2.8125,345.1875,High_snow,0.7240587472915649,70.20938110351562,45.84377670288086,0.0001073622552212,0.3382506668567657,0.2842550575733185,minor,8,8
7,8674,2023122822,3,6,0.0,1.0,1.0,1.0,0.0,97821.6875,0.8837890625,278.7109375,1970.0,0.0052108765,0.0,-2.352219714721804,-8.102991340466438,12,22,4,2.1139193,1.0,5,0.0,8.4375,253.8125,High_rain,0.8977441787719727,95.0919952392578,29.35876846313477,7.340349661433265e-09,0.2797294855117798,0.3427220284938812,minor,8,8
8,2627,2023042017,3,6,0.0,0.0,0.0,0.0,0.0,101932.1875,0.5263671875,284.0078125,42760.0,0.0,0.0,2.992841690770008,4.836378279662264,4,17,2,0.7658312,0.0,0,0.0,5.6875,58.25,Comfortable,0.6463444828987122,136.5811004638672,47.62599182128906,1.0,0.7306002378463745,0.5804957151412964,major,2,2
9,1674,2023031123,3,6,0.90625,1.0,1.0,1.0,0.0,99299.125,0.7978515625,275.1015625,6354.0,0.00044059753,0.0006580353,-1.8635302722307083,2.27071820675304,3,23,4,2.8947084,1.0,0,0.6580353,2.9375,129.375,High_snow,1.2936195135116575,102.55445098876952,39.283260345458984,1.697919884691146e-07,0.2317467033863067,0.2375316619873047,minor,8,8
